,DICE,FN,FP,IoU,TN,TP,n_pred,n_ref,prediction_file,reference_file,challenge_DICE,challenge_FP,challenge_FN
324,0.0,0,80,0.0,52159920,0,80,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_6016a6c3af_07012002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_6016a6c3af_07012002.nii.gz,0.0,0.9952816772460937,0.0
325,0.8126124469775565,11531,2738,0.6843700230047779,52114792,30939,33677,42470,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_605369e88d_09152002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_605369e88d_09152002.nii.gz,0.8126124469775565,0.012441020965576172,0.0
326,0.0,0,152,0.0,50879848,0,152,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_607c1b38e3_04142007.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_607c1b38e3_04142007.nii.gz,0.0,1.891035186767578,0.0
327,0.0,0,3,0.0,48639997,0,3,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_607c1b38e3_10162006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_607c1b38e3_10162006.nii.gz,0.0,0.037323062896728515,0.0
328,0.7899179095849231,1529,288,0.6527804318746417,45434767,3416,3704,4945,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_60baa6979c_08162003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_60baa6979c_08162003.nii.gz,0.7899179095849231,0.24882041931152343,0.4727587966918945
329,0.868636402790938,1209,316,0.767778285366225,45433433,5042,5358,6251,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_61663450f8_08162003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_61663450f8_08162003.nii.gz,0.868636402790938,0.4727587966918945,0.0
330,0.8978831299015272,7062,1597,0.8146895799002718,45393273,38068,39665,45130,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_6170317f2e_02182000.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_6170317f2e_02182000.nii.gz,0.8978831299015272,7.788079124450683,6.120982315063476
331,0.0,0,305,0.0,58079695,0,305,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_61d5bc58fc_06152007.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_61d5bc58fc_06152007.nii.gz,0.0,3.7945113945007325,0.0
332,0.0,0,92,0.0,59839908,0,92,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_61d5bc58fc_06182005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_61d5bc58fc_06182005.nii.gz,0.0,1.1445739288330077,0.0
333,0.0,0,49,0.0,59199951,0,49,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_1e2lr__nnUNetPlans__3d_fullres_maxnum_512_patch_192/crossval_results_folds_0_1_2_3_4/PETCT_61d5bc58fc_06232006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_61d5bc58fc_06232006.nii.gz,0.0,0.6096100273132324,0.0
